id,title,vote_count,vote_average,popularity,day_of_week,release_month,release_year,return,budget,release_date,revenue
862,Toy Story,5415.0,7.7,21.946943,Lunes,octubre,1995,12.4518011,30000000.0,1995-10-30,373554033.0
8844,Jumanji,2413.0,6.9,17.015539,Viernes,diciembre,1995,4.0430346,65000000.0,1995-12-15,262797249.0
15602,Grumpier Old Men,92.0,6.5,11.7129,Viernes,diciembre,1995,0.0,0.0,1995-12-22,0.0
31357,Waiting to Exhale,34.0,6.1,3.859495,Viernes,diciembre,1995,5.09075975,16000000.0,1995-12-22,81452156.0
11862,Father of the Bride Part II,173.0,5.7,8.387519,Viernes,febrero,1995,0.0,0.0,1995-02-10,76578911.0
949,Heat,1886.0,7.7,17.924927,Viernes,diciembre,1995,3.123946966666667,60000000.0,1995-12-15,187436818.0
11860,Sabrina,141.0,6.2,6.677277,Viernes,diciembre,1995,0.0,58000000.0,1995-12-15,0.0
45325,Tom and Huck,45.0,5.4,2.561161,Viernes,diciembre,1995,0.0,0.0,1995-12-22,0.0
9091,Sudden Death,174.0,5.5,5.23158,Viernes,diciembre,1995,1.8385763142857143,35000000.0,1995-12-22,64350171.0
710,GoldenEye,1194.0,6.6,14.686036,Jueves,noviembre,1995,6.072310931034483,58000000.0,1995-11-16,352194034.0
9087,The American President,199.0,6.5,6.318445,Viernes,noviembre,1995,1.739991870967742,62000000.0,1995-11-17,107879496.0
12110,Dracula: Dead and Loving It,210.0,5.7,5.430331,Viernes,diciembre,1995,0.0,0.0,1995-12-22,0.0
21032,Balto,423.0,7.1,12.140733,Viernes,diciembre,1995,0.0,0.0,1995-12-22,11348324.0
10858,Nixon,72.0,7.1,5.092,Viernes,diciembre,1995,0.31094920454545455,44000000.0,1995-12-22,13681765.0
1408,Cutthroat Island,137.0,5.7,7.284477,Viernes,diciembre,1995,0.10221757142857144,98000000.0,1995-12-22,10017322.0
524,Casino,1343.0,7.8,10.137389,Miércoles,noviembre,1995,2.2329302884615383,52000000.0,1995-11-22,116112375.0
4584,Sense and Sensibility,364.0,7.2,10.673167,Miércoles,diciembre,1995,8.181818181818182,16500000.0,1995-12-13,135000000.0
5,Four Rooms,539.0,6.5,9.026586,Sábado,diciembre,1995,1.075,4000000.0,1995-12-09,4300000.0
9273,Ace Ventura: When Nature Calls,1128.0,6.1,8.205448,Viernes,noviembre,1995,7.079517766666667,30000000.0,1995-11-10,212385533.0
11517,Money Train,224.0,5.4,7.337906,Martes,noviembre,1995,0.59051855,60000000.0,1995-11-21,35431113.0
8012,Get Shorty,305.0,6.4,12.669608,Viernes,octubre,1995,3.805012297520661,30250000.0,1995-10-20,115101622.0
1710,Copycat,199.0,6.5,10.701801,Viernes,octubre,1995,0.0,0.0,1995-10-27,0.0
9691,Assassins,394.0,6.0,11.065939,Viernes,octubre,1995,0.60606144,50000000.0,1995-10-06,30303072.0
12665,Powder,143.0,6.3,12.133094,Viernes,octubre,1995,0.0,0.0,1995-10-27,0.0
451,Leaving Las Vegas,365.0,7.1,10.332025,Viernes,octubre,1995,13.833333333333334,3600000.0,1995-10-27,49800000.0
16420,Othello,33.0,7.0,1.845899,Viernes,diciembre,1995,0.0,0.0,1995-12-15,0.0
9263,Now and Then,91.0,6.6,8.681325,Viernes,octubre,1995,2.283333333333333,12000000.0,1995-10-20,27400000.0
17015,Persuasion,36.0,7.4,2.228434,Miércoles,septiembre,1995,0.0,0.0,1995-09-27,0.0
902,The City of Lost Children,308.0,7.6,9.822423,Martes,mayo,1995,0.0965895,18000000.0,1995-05-16,1738611.0
37557,Shanghai Triad,17.0,6.5,1.100915,Domingo,abril,1995,0.0,0.0,1995-04-30,0.0
9909,Dangerous Minds,249.0,6.4,9.481338,Viernes,agosto,1995,0.0,0.0,1995-08-11,180000000.0
63,Twelve Monkeys,2470.0,7.4,12.297305,Viernes,diciembre,1995,5.7233898305084745,29500000.0,1995-12-29,168840000.0
